annotation,n_cells
microglia,4329
b_cells,4011
endothelial,3983
basal,2407
t_cells,2251
fibroblasts,2152
multipotent_progenitors,1924
hair_follicle,1371
stromal,1363
progenitors,1291
oligodendrocytes,1175
undifferentiated,904
interfollicular_epidermis,892
amplifying,889
neutrophils,820
goblet,814
granulocytes,789
enterocytes,782
immune,718
mesenchymal,656
muscle_stem,546
luminal,532
myeloid,527
mesenchymal_stem,486
astrocytes,444
satellite,442
beta,411
hepatocytes,399
luminal_progenitors,396
monocytes,389
keratinocytes,361
natural_killer,336
alpha,287
epithelial,275
tubule,261
smooth_muscle,255
unknown,227
opcs,202
neurons,196
acinar,177
macrophages,176
hormone_responsive_luminal,156
cardiomyocytes,140
pericytes,132
ductal,131
pp,107
adipocytes,93
delta,91
fenestrated_capillary,69
dendritic,69
kuppfer,51
tuft,45
collecting_duct,44
npcs,36
stromal_stem,33
stellate,29
muscle,27
chromaffin,25
hematopoietic,17
ciliated,14
club,13
erythrocytes,11
remaining_epithelial,9
neuroendocrine,2
mesothelial,2
