 ,Lysis Plate Batch,dNTP.batch,oligodT.order.no,plate.type,preparation.site,date.prepared,date.sorted,tissue,subtissue,mouse.id,FACS.selection,nozzle.size,FACS.instument,Experiment ID ,Columns sorted,Double check,Plate,Location ,Comments,mouse.age,mouse.number,mouse.sex,mouse.parabiont,mouse.parabiont_pair,tissue_v2
MAA100002,,,,Biorad 96well,Stanford,,170522,?,?,?,?,?,?,,,,,,,,,,False,,?
MAA100021,,,,Biorad 96well,Stanford,,?,?,?,?,?,?,?,,,,,,,,,,False,,?
D041901,2,490668,4/25/17,Biorad HSP3805,Biohub,6/9/17,170614,Bladder,,1_7_M,Multiple,,,,,,1,MACA2_2,,1,7,M,False,,Bladder
D041914,2,490668,4/25/17,Biorad HSP3805,Biohub,6/9/17,170615,Bladder,,3_8_M,Multiple,100,Aria,exp8,,,,MACA4_7,,3,8,M,False,,Bladder
D042205,2,490668,4/25/17,Biorad HSP3805,Biohub,6/9/17,170614,Bladder,,1_6_M,Multiple,,,,,,1,MACA2_2,,1,6,M,False,,Bladder
D042253,2,490668,4/25/17,Biorad HSP3805,Biohub,6/9/17,170615,Bladder,,3_9_M,Multiple,100,Aria,exp8,,,,MACA4_7,,3,9,M,False,,Bladder
MAA000461,4,490668,4/25/17,Biorad HSP3841,Biohub,6/12/17,170616,Bladder,,3_11_M,Multiple,100,"Sony, Beckman",,,,2,MACA1_10,,3,11,M,False,,Bladder
MAA000487,4,490668,4/25/17,Biorad HSP3841,Biohub,6/12/17,170616,Bladder,,3_10_M,Multiple,100,"Sony, Beckman",,,,2,MACA1_3,,3,10,M,False,,Bladder
MAA000753,6,505171,6/14/17 159428956,Biorad HSP3841,Biohub,6/15/17,170616,Bladder,,3_10_M,Multiple,100,"Sony, Beckman",,,,1,,,3,10,M,False,,Bladder
MAA000754,6,505171,6/14/17 159428956,Biorad HSP3841,Biohub,6/15/17,170616,Bladder,,3_11_M,Multiple,100,"Sony, Beckman",,,,1,MACA1_3,,3,11,M,False,,Bladder
